1,Upenn,,,
2,"3808, A Journal of Freshman Writing ",1,S
3,ACELA,1,S
4,Active Minds,1,S
5,African American Arts Alliance,1,S
6,African Rhythms,1,S
7,AIESEC of Penn,1,S
8,Alliance and Understanding,1,S
9,ALLIES,1,S
10,Alpha Kappa Psi,1,S
11,Alpha Phi Omega,1,S
12,Alternate Spring Break,1,S
13,Amateur Radio Club,1,S
14,American Institute of Chemical Engineers,1,S
15,American Medical Students Association,1,S
16,American Society of Mechanical Engineers,1,S
17,Amnesty International,1,S
18,Anthropology Undergraduate Advisory Board,1,S
19,Apostolos Campus Ministry ,1,S
20,Art Club ,1,S
21,Arts House Dance Company,1,S
22,Asha for Education ,1,S
23,Asian Pacific American Law Students Association,1,S
24,Asian Pacific Student Coalition,1,S
25,Asian Student Union,1,S
26,Atma,1,S
28,Awareness of International Markets (AIM),1,S
29,Badminton Club ,1,S
30,Band,1,S
31,Big Brothers Big Sisters ,1,S
32,Biological Basis of Behavior Society,1,S
33,Black Graduate and Professional Student Assembly (BGAPSA),1,S
34,Black Student League,1,S
35,Black Wharton Undergraduate Association,1,S
36,Bloomers,1,S
37,Brazilian Club,1,S
38,Campus Crusade for Christ,1,S
39,Canadians at Penn,1,S
40,Caribbean-American Student Association,1,S
41,Check One,1,S
42,Chess Club,1,S
43,Chinese Students and Scholars,1,S
44,Chinese Students Association,1,S
45,Chord On Blues,1,S
46,Christian Association,1,S
47,Cipactli Latino Honor Society,1,S
48,Circle K,1,S
49,Civic House Associates Council (CHAC),1,S
50,Class of 2008 Executive Board,1,S
51,Class of 2009 Executive Board ,1,S
52,Class of 2010 Executive Board ,1,S
53,Class of 2011 Executive Board,1,S
54,Club Gymnastics,1,S
55,Club Singapore,1,S
56,College Democrats,1,S
57,College Republicans,1,S
58,CommuniTech,1,S
59,Connaissance (SPEC),1,S
60,Conservative Jewish Community at Penn,1,S
61,Counterparts,1,S
62,Dance Marathon ,1,S
63,Debate Council,1,S
64,Delta Sigma Pi,1,S
65,Dessalines Haitian Students Association,1,S
66,Destination Hip Hop,1,S
67,Dhamaka,1,S
68,Dining Philosophers,1,S
69,Dischord,1,S
70,Divrei Beit Hillel,1,S
71,Drug and Alcohol Resource Team (DART),1,S
72,Dzine 2 Show,1,S
73,Educational Linguistics Forum,1,S
74,Engineering Deans' Advisory Board,1,S
75,Engineering Peer Advising Council,1,S
76,Engineering Student Activities Council,1,S
77,Engineering Students Activities Council (ESAC),1,S
78,English Undergraduate Advisory Board,1,S
79,Environmental Group,1,S
80,Equestrian Team,1,S
81,Ernest E. Just Biomedical Society,1,S
82,Eta Kappa Nu ,1,S
83,Excelano Project ,1,S
84,Facilitating Learning About Sexual Health (FLASH),1,S
85,First Call,1,S
86,Fox Leadership Program ,1,S
87,Friars Senior Society,1,S
88,Front Row Theatre Company,1,S
89,GET-UP (Graduate Employees Together-UPENN),1,S
90,Glee Club,1,S
91,Grace Fellowship,1,S
92,Graduate and Professional Students Assembly (GAPSA),1,S
93,The Student Health Insurance Advisory Committee GAPSA Committee,1,S
94,Academic and Related Affairs GAPSA Committee,1,S
95,Campus and Community Life GAPSA Committee,1,S
